state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,05,004,12/01/05/004,"MAKEKE, ERESHA P.S.",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.40576016,6.21007513,34117
12,01,05,005,12/01/05/005,"MAKEKE, BY AGBALA'S HOUSE",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.40468249,6.21024711,34118
12,01,05,006,12/01/05/006,"MAKEKE,  ILETEJU PRIMARY SCHOOL",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.40202229,6.22559306,34119
12,01,05,007,12/01/05/007,"ANYANWOSA, ANYANWOSA OJUTAIYE",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.36431585,6.13592818,34120
12,01,05,008,12/01/05/008,"OJAH, OYONBA P.S. I",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.37089335,6.23598177,34121
12,01,05,009,12/01/05/009,"OJAH, ONYONBA P.S. II",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.37116672,6.23601088,34122
12,01,05,010,12/01/05/010,"OJAH, BY OBA'S HOUSE I",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.37248752,6.23982951,34123
12,01,05,011,12/01/05/011,"OJAH,  BY OBA'S HOUSE II",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.37770618,6.23632024,34124
12,01,05,012,12/01/05/012,"OJAH, OJAH COMM. HIGH SCHOOL",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.38956604,6.23551463,34125
12,01,05,013,12/01/05/013,"OJIRAMI, DAM P.S.",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.29994988,6.16484118,34126
12,01,05,014,12/01/05/014,"OJIRAMI, DISPENSARY YARD PSH",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.31332581,6.18000862,34127
12,01,05,015,12/01/05/015,"OJIRAMI,  AFEKUNU DISPENSARY",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.33976549,6.18964402,34128
12,01,05,016,12/01/05/016,"OJIRAMI, AFEKUNU MARKET",MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,AKOKO EDO,7.33806180,6.19187202,34129
12,01,06,001,12/01/06/001,"OKPE,  IDOGUN PS. I",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28240693,6.04072494,34130
12,01,06,002,12/01/06/002,"OKPE, IDOGUN  PS. II",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28240117,6.04071994,34131
12,01,06,003,12/01/06/003,"OKPE, PALACE SQUARE I",OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,AKOKO EDO,7.28359001,6.02780999,34132
