state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,01,04,12,01,04,020,12/01/04/020,"IBILLO, OPEN SPACE - MARKET SQR II",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,021,12/01/04/021,"IBILLO, OPEN SPACE - FRONT OF GARUBA'S COMP",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,022,12/01/04/022,"IBILLO, OPEN SPACE - AGBABIAKA'S HOUSE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,023,12/01/04/023,"IBILLO, OPEN SPACE -FRONT OF AGBAJE'S HOUSE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,024,12/01/04/024,"IBILLO, CUSTOMARY COURT",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,025,12/01/04/025,"IBILLO, OPEN SPACE -FRONT OF EKUNDAYO FAMILY COMP.",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,026,12/01/04/026,"EKPESA, HEALTH CENTER",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,027,12/01/04/027,"EKOR, OPEN SPACE - FRONT OF AJOGUN'S COMP",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,028,12/01/04/028,"OPEN SPACE OPPOSITE BAJOGUN'S HOUSE, IKIRAN ILE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,029,12/01/04/029,"OPEN SPACE OPPOSITE BALOGUN'S HOUSE, IKIRAN ILE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,030,12/01/04/030,"OPEN SPACE OPPOSITE BELLO'S COMP, IKIRAN ILE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,031,12/01/04/031,"PRIMARY HEALTH CENTER, IKIRAN OKE",Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,04,12,01,04,000,12/01/04/000,12/01/04/000,Ibillo/ Ekpesa/ Ekor/ Ikiran-ile/ Oke,Akoko Edo
EDO,01,05,12,01,05,001,12/01/05/001,"DANGBALA, DANGBALA P.S. I",Makeke/ Ojah/ Dangbala/ Ojirami/ Anyawoza,Akoko Edo
